Row	Question	ISO	answer	value	rank	item
1	Question4	AUT	Crime or violence	49.8	1	item7
2	Question4	AUT	Becoming ill or disabled	48.6	2	item1
3	Question4	AUT	Struggling to meet all expenses (working, but income too low)	39	3	item4
4	Question4	AUT	Difficulty ensuring long-term care of elderly or disabled family members	36.3	4	item6
5	Question4	AUT	Securing / maintaining adequate housing	30.8	5	item3
6	Question4	AUT	Losing a job or self-employment income	27.1	6	item2
7	Question4	AUT	Difficulty accessing good quality child care or education for my children	22.3	7	item5
8	Question4	AUT	None of these risks	7.9	8	item8
9	Question4	AVG	Becoming ill or disabled	53.8	1	item1
10	Question4	AVG	Struggling to meet all expenses (working, but income too low)	47.3	2	item4
11	Question4	AVG	Losing a job or self-employment income	35.3	3	item2
12	Question4	AVG	Crime or violence	34.7	4	item7
13	Question4	AVG	Securing / maintaining adequate housing	28	5	item3
14	Question4	AVG	Difficulty ensuring long-term care of elderly or disabled family members	25.9	6	item6
15	Question4	AVG	Difficulty accessing good quality child care or education for my children	15.3	7	item5
16	Question4	AVG	None of these risks	8.7	8	item8
17	Question4	BEL	Becoming ill or disabled	62.9	1	item1
18	Question4	BEL	Crime or violence	42.4	2	item7
19	Question4	BEL	Struggling to meet all expenses (working, but income too low)	41.5	3	item4
20	Question4	BEL	Difficulty ensuring long-term care of elderly or disabled family members	30.1	4	item6
21	Question4	BEL	Securing / maintaining adequate housing	26.4	5	item3
22	Question4	BEL	Losing a job or self-employment income	22.1	6	item2
23	Question4	BEL	Difficulty accessing good quality child care or education for my children	11.6	7	item5
24	Question4	BEL	None of these risks	10.5	8	item8
25	Question4	CAN	Struggling to meet all expenses (working, but income too low)	50.9	1	item4
26	Question4	CAN	Becoming ill or disabled	47.9	2	item1
27	Question4	CAN	Losing a job or self-employment income	36.4	3	item2
28	Question4	CAN	Crime or violence	25.3	4	item7
29	Question4	CAN	Difficulty ensuring long-term care of elderly or disabled family members	25.1	5	item6
30	Question4	CAN	Securing / maintaining adequate housing	23.9	6	item3
31	Question4	CAN	None of these risks	12.7	7	item8
32	Question4	CAN	Difficulty accessing good quality child care or education for my children	12.2	8	item5
33	Question4	CHL	Struggling to meet all expenses (working, but income too low)	53.2	1	item4
34	Question4	CHL	Becoming ill or disabled	51.9	2	item1
35	Question4	CHL	Losing a job or self-employment income	43.6	3	item2
36	Question4	CHL	Crime or violence	40.8	4	item7
37	Question4	CHL	Securing / maintaining adequate housing	32.2	5	item3
38	Question4	CHL	Difficulty ensuring long-term care of elderly or disabled family members	23.4	6	item6
39	Question4	CHL	Difficulty accessing good quality child care or education for my children	11.2	7	item5
40	Question4	CHL	None of these risks	4.1	8	item8
41	Question4	DEU	Becoming ill or disabled	50.8	1	item1
42	Question4	DEU	Crime or violence	47.2	2	item7
43	Question4	DEU	Struggling to meet all expenses (working, but income too low)	43.2	3	item4
44	Question4	DEU	Difficulty ensuring long-term care of elderly or disabled family members	32.9	4	item6
45	Question4	DEU	Securing / maintaining adequate housing	29.1	5	item3
46	Question4	DEU	Losing a job or self-employment income	22.7	6	item2
47	Question4	DEU	Difficulty accessing good quality child care or education for my children	20.8	7	item5
48	Question4	DEU	None of these risks	9.4	8	item8
49	Question4	DNK	Becoming ill or disabled	53.5	1	item1
50	Question4	DNK	Crime or violence	32	2	item7
51	Question4	DNK	Struggling to meet all expenses (working, but income too low)	31.4	3	item4
52	Question4	DNK	Securing / maintaining adequate housing	29.3	4	item3
53	Question4	DNK	Losing a job or self-employment income	29.1	5	item2
54	Question4	DNK	Difficulty ensuring long-term care of elderly or disabled family members	19	6	item6
55	Question4	DNK	None of these risks	16	7	item8
56	Question4	DNK	Difficulty accessing good quality child care or education for my children	14.4	8	item5
57	Question4	EST	Becoming ill or disabled	60.7	1	item1
58	Question4	EST	Struggling to meet all expenses (working, but income too low)	48.4	2	item4
59	Question4	EST	Losing a job or self-employment income	47.6	3	item2
60	Question4	EST	Securing / maintaining adequate housing	33.6	4	item3
61	Question4	EST	Difficulty ensuring long-term care of elderly or disabled family members	32.4	5	item6
62	Question4	EST	Difficulty accessing good quality child care or education for my children	15.9	6	item5
63	Question4	EST	Crime or violence	14.6	7	item7
64	Question4	EST	None of these risks	6.5	8	item8
65	Question4	FIN	Becoming ill or disabled	64.7	1	item1
66	Question4	FIN	Struggling to meet all expenses (working, but income too low)	45.3	2	item4
67	Question4	FIN	Losing a job or self-employment income	43.4	3	item2
68	Question4	FIN	Securing / maintaining adequate housing	37.3	4	item3
69	Question4	FIN	Crime or violence	25.2	5	item7
70	Question4	FIN	Difficulty ensuring long-term care of elderly or disabled family members	18.6	6	item6
71	Question4	FIN	Difficulty accessing good quality child care or education for my children	6.8	7	item5
72	Question4	FIN	None of these risks	6.3	8	item8
73	Question4	FRA	Becoming ill or disabled	61.5	1	item1
74	Question4	FRA	Struggling to meet all expenses (working, but income too low)	51	2	item4
75	Question4	FRA	Crime or violence	41.5	3	item7
76	Question4	FRA	Difficulty ensuring long-term care of elderly or disabled family members	33.2	4	item6
77	Question4	FRA	Securing / maintaining adequate housing	31.3	5	item3
78	Question4	FRA	Losing a job or self-employment income	22	6	item2
79	Question4	FRA	Difficulty accessing good quality child care or education for my children	11.3	7	item5
80	Question4	FRA	None of these risks	6.7	8	item8
81	Question4	GRC	Struggling to meet all expenses (working, but income too low)	70.5	1	item4
82	Question4	GRC	Becoming ill or disabled	46.1	2	item1
83	Question4	GRC	Losing a job or self-employment income	42.4	3	item2
84	Question4	GRC	Crime or violence	33	4	item7
85	Question4	GRC	Difficulty accessing good quality child care or education for my children	28.2	5	item5
86	Question4	GRC	Securing / maintaining adequate housing	20.3	6	item3
87	Question4	GRC	Difficulty ensuring long-term care of elderly or disabled family members	20.3	7	item6
88	Question4	GRC	None of these risks	2.2	8	item8
89	Question4	IRL	Becoming ill or disabled	52.4	1	item1
90	Question4	IRL	Struggling to meet all expenses (working, but income too low)	49.6	2	item4
91	Question4	IRL	Losing a job or self-employment income	36.3	3	item2
92	Question4	IRL	Crime or violence	34.7	4	item7
93	Question4	IRL	Securing / maintaining adequate housing	26.9	5	item3
94	Question4	IRL	Difficulty ensuring long-term care of elderly or disabled family members	24.7	6	item6
95	Question4	IRL	Difficulty accessing good quality child care or education for my children	18.3	7	item5
96	Question4	IRL	None of these risks	7.4	8	item8
97	Question4	ITA	Struggling to meet all expenses (working, but income too low)	55.9	1	item4
98	Question4	ITA	Becoming ill or disabled	47.4	2	item1
99	Question4	ITA	Crime or violence	47.4	3	item7
100	Question4	ITA	Losing a job or self-employment income	42.2	4	item2
101	Question4	ITA	Difficulty ensuring long-term care of elderly or disabled family members	27.1	5	item6
102	Question4	ITA	Securing / maintaining adequate housing	17.6	6	item3
103	Question4	ITA	Difficulty accessing good quality child care or education for my children	12.9	7	item5
104	Question4	ITA	None of these risks	5.4	8	item8
105	Question4	LTU	Becoming ill or disabled	57	1	item1
106	Question4	LTU	Losing a job or self-employment income	51.3	2	item2
107	Question4	LTU	Struggling to meet all expenses (working, but income too low)	51	3	item4
108	Question4	LTU	Securing / maintaining adequate housing	37.8	4	item3
109	Question4	LTU	Difficulty ensuring long-term care of elderly or disabled family members	22	5	item6
110	Question4	LTU	Crime or violence	18.8	6	item7
111	Question4	LTU	Difficulty accessing good quality child care or education for my children	17.6	7	item5
112	Question4	LTU	None of these risks	6.3	8	item8
